country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","09-12-2025 21:00:00",25.592539,85.227158,NO2,21,50,33
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","09-12-2025 21:00:00",25.592539,85.227158,NH3,4,5,5
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","09-12-2025 21:00:00",21.219665,81.630094,OZONE,3,16,9
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","09-12-2025 21:00:00",21.237755,81.705301,PM2.5,32,134,61
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","09-12-2025 21:00:00",21.237755,81.705301,NO2,17,25,21
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","09-12-2025 21:00:00",21.237755,81.705301,OZONE,1,4,2
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","09-12-2025 21:00:00",21.371751,81.664929,SO2,4,5,4
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","09-12-2025 21:00:00",22.06631475,83.33820077,PM10,49,120,79
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","09-12-2025 21:00:00",22.06631475,83.33820077,NO2,49,93,70
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","09-12-2025 21:00:00",22.06631475,83.33820077,CO,19,42,28
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","09-12-2025 21:00:00",27.308328,84.531742,NH3,1,2,1
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","09-12-2025 21:00:00",26.63086,84.90051,PM10,35,267,133
India,Bihar,Munger,"Town Hall, Munger - BSPCB","09-12-2025 21:00:00",25.376776,86.471523,PM2.5,180,324,275
India,Bihar,Munger,"Town Hall, Munger - BSPCB","09-12-2025 21:00:00",25.376776,86.471523,PM10,128,205,167
India,Bihar,Munger,"Town Hall, Munger - BSPCB","09-12-2025 21:00:00",25.376776,86.471523,NH3,3,7,6
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","09-12-2025 21:00:00",26.11442,85.39813,OZONE,10,156,76
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","09-12-2025 21:00:00",21.185571,81.343175,PM10,28,116,56
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","09-12-2025 21:00:00",21.185571,81.343175,SO2,6,10,8
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","09-12-2025 21:00:00",21.185571,81.343175,OZONE,6,15,11
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","09-12-2025 21:00:00",21.224231,81.408350,CO,16,112,34
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","09-12-2025 21:00:00",22.08815,82.13737,CO,16,68,40
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","09-12-2025 21:00:00",22.368195,82.746431,PM10,72,86,85
India,Bihar,Patna,"Muradpur, Patna - BSPCB","09-12-2025 21:00:00",25.619651,85.147382,SO2,7,10,9
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","09-12-2025 21:00:00",25.599486,85.113666,PM2.5,77,287,205
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","09-12-2025 21:00:00",25.599486,85.113666,OZONE,21,29,26
India,Bihar,Patna,"Samanpura, Patna - BSPCB","09-12-2025 21:00:00",25.596727,85.085624,PM2.5,294,364,336
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","09-12-2025 21:00:00",25.03280,85.41948,PM2.5,77,395,260
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","09-12-2025 21:00:00",25.03280,85.41948,NH3,6,7,6
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","09-12-2025 21:00:00",26.2271665,84.3570427,OZONE,5,6,5
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","09-12-2025 21:00:00",30.719859,76.738637,NH3,8,11,9
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","09-12-2025 21:00:00",30.719859,76.738637,SO2,12,18,15
